8.9°C,15.1°C,4h,0.4mm 
6.1°C,9.6°C,4h,1.8mm 
17.0°C,27.1°C,11h,0.0mm 
6.7°C,9.2°C,2h,2.8mm 
3.6°C,10.2°C,7h,0.0mm 
12.8°C,22.0°C,6h,1.6mm 
15.4°C,22.9°C,1h,0.0mm 
4.9°C,8.2°C,0h,9.8mm 
8.6°C,13.8°C,1h,0.8mm 
14.8°C,20.5°C,6h,0.0mm 
7.6°C,18.0°C,11h,0.0mm 
8.2°C,14.1°C,1h,4.0mm 
11.0°C,15.9°C,5h,2.6mm 
2.4°C,5.2°C,0h,0.0mm 
8.5°C,17.9°C,6h,1.0mm 
8.2°C,14.1°C,1h,4.0mm 
6.3°C,10.5°C,3h,1.6mm 
17.4°C,23.9°C,2h,4.4mm 
9.2°C,11.4°C,2h,0.0mm 
6.6°C,9.8°C,0h,0.4mm 
14.5°C,26.6°C,13h,0.0mm 
13.5°C,17.0°C,0h,3.4mm 
2.1°C,6.4°C,6h,0.0mm 
11.8°C,22.6°C,12h,15.8mm 
13.9°C,18.7°C,1h,8.1mm 
0.5°C,4.3°C,0h,0.0mm 
8.3°C,12.0°C,0h,4.6mm 
5.8°C,14.2°C,8h,1.2mm 
4.3°C,14.8°C,7h,0.4mm 
15.1°C,25.8°C,4h,0.6mm 
12.2°C,14.8°C,0h,8.9mm 
8.2°C,14.5°C,1h,6.4mm 
7.3°C,11.3°C,2h,0.8mm 
11.5°C,20.6°C,7h,0.0mm 
15.6°C,20.9°C,2h,2.4mm 
14.9°C,20.2°C,3h,2.8mm 
12.0°C,20.8°C,3h,0.0mm 
8.1°C,13.3°C,5h,1.4mm 
0.2°C,7.9°C,10h,0.0mm 
7.7°C,20.7°C,14h,0.0mm 
10.6°C,16.9°C,1h,0.2mm 
19.4°C,31.4°C,14h,0.0mm 
13.7°C,22.4°C,4h,0.0mm 
8.0°C,12.2°C,1h,0.0mm 
16.9°C,26.5°C,5h,9.1mm 
9.1°C,12.9°C,0h,4.0mm 
19.2°C,27.7°C,15h,0.0mm 
6.7°C,11.1°C,1h,0.0mm 
-6.5°C,0.2°C,9h,0.0mm 
6.8°C,8.4°C,0h,1.0mm 
4.6°C,11.0°C,0h,4.8mm 
8.4°C,20.0°C,15h,0.0mm 
6.7°C,9.2°C,2h,2.8mm 
-6.3°C,-1.4°C,9h,0.0mm 
8.4°C,14.1°C,1h,2.8mm 
15.2°C,24.2°C,7h,0.0mm 
4.9°C,8.2°C,0h,9.8mm 
16.5°C,26.4°C,7h,3.4mm 
15.8°C,22.5°C,1h,1.4mm 
6.8°C,12.9°C,4h,2.4mm 
6.1°C,8.6°C,1h,0.8mm 
7.5°C,11.8°C,0h,0.0mm 
0.2°C,7.9°C,10h,0.0mm 
17.6°C,27.5°C,7h,1.6mm 
5.4°C,16.4°C,13h,0.0mm 
0.8°C,13.6°C,10h,0.0mm 
6.7°C,17.3°C,9h,0.0mm 
3.3°C,9.9°C,1h,3.2mm 
17.1°C,24.0°C,2h,0.0mm 
9.1°C,17.6°C,4h,0.0mm 
6.5°C,10.2°C,0h,1.2mm 
5.9°C,11.7°C,1h,0.0mm 
14.7°C,24.4°C,4h,0.0mm 
6.0°C,16.9°C,13h,0.0mm 
7.2°C,11.1°C,0h,0.2mm 
16.4°C,21.9°C,1h,0.2mm 
2.4°C,5.0°C,0h,1.8mm 
15.8°C,28.4°C,11h,0.0mm 
6.1°C,9.6°C,4h,1.8mm 
6.0°C,11.1°C,0h,0.0mm 
9.0°C,12.3°C,5h,0.4mm 
6.3°C,10.5°C,1h,0.0mm 
14.0°C,23.4°C,10h,0.0mm 
4.7°C,6.6°C,1h,0.0mm 
5.2°C,9.2°C,4h,0.0mm 
2.3°C,10.9°C,6h,0.0mm 
-6.8°C,-1.5°C,9h,0.0mm 
9.0°C,16.9°C,5h,0.0mm 
19.9°C,25.1°C,3h,1.4mm 
15.7°C,27.2°C,15h,0.0mm 
16.3°C,26.1°C,9h,0.0mm 
13.2°C,17.6°C,0h,8.0mm 
2.4°C,5.7°C,0h,0.6mm 
15.1°C,28.8°C,13h,0.0mm 
12.6°C,17.7°C,3h,7.6mm 
13.5°C,18.2°C,3h,1.8mm 
19.8°C,32.9°C,14h,0.0mm 
4.0°C,11.0°C,6h,0.0mm 
15.0°C,23.9°C,4h,0.0mm 
6.7°C,10.1°C,4h,0.0mm 
12.5°C,26.7°C,13h,0.0mm 
1.6°C,5.6°C,4h,4.6mm 
13.7°C,24.6°C,11h,0.0mm 
3.3°C,11.3°C,7h,0.0mm 
5.4°C,17.9°C,11h,0.0mm 
16.0°C,25.2°C,6h,0.0mm 
6.1°C,9.6°C,4h,1.8mm 
1.2°C,10.9°C,12h,0.0mm 
4.1°C,12.4°C,0h,1.8mm 
21.4°C,33.6°C,14h,0.0mm 
6.6°C,13.0°C,7h,5.8mm 
9.4°C,15.1°C,1h,0.8mm 
10.4°C,17.7°C,10h,0.0mm 
12.0°C,20.8°C,3h,0.0mm 
0.9°C,8.2°C,1h,1.0mm 
2.3°C,4.4°C,0h,0.0mm 
17.0°C,22.8°C,5h,0.0mm 
15.0°C,19.1°C,0h,0.0mm 
10.5°C,12.2°C,0h,1.4mm 
1.2°C,4.3°C,2h,3.4mm 
13.2°C,17.6°C,0h,8.0mm 
12.6°C,24.7°C,10h,0.0mm 
19.8°C,32.9°C,14h,0.0mm 
10.4°C,17.7°C,10h,0.0mm 
5.4°C,8.3°C,0h,2.6mm 
2.6°C,6.6°C,2h,1.2mm 
3.1°C,10.5°C,6h,1.2mm 
13.8°C,23.9°C,3h,0.4mm 
9.9°C,19.0°C,5h,0.0mm 
4.8°C,7.1°C,0h,0.0mm 
3.2°C,8.1°C,2h,0.0mm 
6.7°C,16.5°C,4h,5.6mm 
16.9°C,26.5°C,5h,9.1mm 
-8.5°C,-0.9°C,7h,0.0mm 
9.4°C,22.2°C,11h,0.0mm 
7.6°C,13.8°C,0h,3.8mm 
7.0°C,15.0°C,3h,0.0mm 
6.7°C,12.8°C,6h,1.4mm 
13.9°C,15.2°C,0h,6.0mm 
20.5°C,38.1°C,10h,0.0mm 
9.0°C,14.3°C,0h,0.0mm 
12.9°C,22.1°C,5h,0.0mm 
1.0°C,5.5°C,1h,1.2mm 
8.4°C,13.1°C,1h,1.0mm 
6.5°C,10.2°C,0h,1.2mm 
14.4°C,31.7°C,12h,0.0mm 
6.7°C,16.5°C,4h,5.6mm 
14.8°C,20.5°C,6h,0.0mm 
13.9°C,19.5°C,0h,2.4mm 
7.5°C,18.2°C,9h,0.0mm 
15.2°C,19.9°C,2h,4.6mm 
11.8°C,14.5°C,0h,1.2mm 
8.8°C,12.3°C,0h,8.0mm 
9.2°C,11.4°C,2h,0.0mm 
6.6°C,9.2°C,0h,7.6mm 
7.7°C,18.3°C,4h,0.0mm 
12.9°C,20.0°C,4h,0.0mm 
8.0°C,11.9°C,3h,0.0mm 
11.0°C,15.9°C,5h,2.6mm 
16.5°C,22.0°C,7h,0.0mm 
4.5°C,7.3°C,0h,0.0mm 
16.9°C,26.5°C,5h,9.1mm 
15.4°C,27.3°C,3h,23.0mm 
8.9°C,12.5°C,0h,0.0mm 
16.8°C,25.6°C,7h,0.0mm 
10.5°C,12.2°C,0h,1.4mm 
7.9°C,15.8°C,7h,0.0mm 
18.1°C,26.1°C,12h,0.0mm 
5.2°C,12.0°C,4h,11.8mm 
3.0°C,6.1°C,0h,0.0mm 
10.6°C,16.9°C,1h,0.2mm 
8.6°C,11.4°C,0h,0.0mm 
2.7°C,9.0°C,4h,0.0mm 
2.6°C,6.2°C,3h,5.8mm 
4.1°C,10.3°C,1h,3.6mm 
12.5°C,19.5°C,6h,0.2mm 
6.4°C,12.5°C,1h,0.6mm 
2.4°C,10.3°C,5h,0.0mm 
11.5°C,23.4°C,12h,0.0mm 
5.3°C,15.1°C,8h,0.0mm 
6.5°C,8.3°C,0h,0.0mm 
12.6°C,21.4°C,5h,0.0mm 
15.2°C,28.8°C,11h,0.0mm 
10.3°C,15.6°C,3h,0.0mm 
17.5°C,28.7°C,5h,11.4mm 
7.9°C,10.9°C,2h,3.4mm 
6.2°C,8.5°C,6h,0.0mm 
14.0°C,23.2°C,7h,0.0mm 
4.5°C,7.3°C,0h,0.0mm 
15.9°C,22.4°C,2h,0.6mm 
12.8°C,22.8°C,3h,17.2mm 
1.2°C,10.9°C,12h,0.0mm 
6.0°C,9.9°C,1h,0.8mm 
12.1°C,25.3°C,11h,0.0mm 
10.0°C,17.0°C,9h,0.0mm 
0.6°C,9.4°C,10h,0.0mm 
6.5°C,10.2°C,5h,0.0mm 
13.5°C,21.7°C,2h,3.8mm 
4.7°C,9.3°C,1h,0.2mm 
9.0°C,12.6°C,0h,0.0mm 
11.1°C,22.5°C,8h,0.0mm 
5.0°C,16.0°C,10h,0.0mm 
6.5°C,11.9°C,2h,7.2mm 
15.1°C,25.8°C,4h,0.6mm 
7.2°C,11.1°C,0h,0.2mm 
13.3°C,18.2°C,3h,6.2mm 
5.5°C,12.3°C,2h,7.8mm 
-6.3°C,-1.4°C,9h,0.0mm 
4.9°C,14.6°C,8h,0.2mm 
0.9°C,8.2°C,1h,1.0mm 
2.0°C,7.9°C,0h,4.6mm 
1.9°C,6.7°C,2h,0.0mm 
3.5°C,7.1°C,0h,0.2mm 
6.5°C,11.9°C,2h,7.2mm 
6.3°C,10.9°C,1h,7.2mm 
6.7°C,10.1°C,4h,0.0mm 
19.8°C,30.2°C,5h,20.1mm 
14.7°C,22.5°C,4h,11.3mm 
1.9°C,7.7°C,0h,0.0mm 
11.5°C,20.6°C,7h,0.0mm 
9.6°C,15.6°C,1h,14.9mm 
15.2°C,25.8°C,12h,0.0mm 
9.8°C,19.3°C,9h,0.0mm 
19.7°C,31.7°C,12h,0.0mm 
8.2°C,18.0°C,8h,0.0mm 
14.4°C,25.4°C,8h,0.0mm 
5.9°C,12.5°C,2h,0.2mm 
6.8°C,12.9°C,4h,2.4mm 
11.6°C,17.3°C,2h,0.8mm 
7.5°C,18.2°C,9h,0.0mm 
4.7°C,6.6°C,1h,0.0mm 
9.8°C,15.7°C,0h,0.4mm 
16.0°C,30.0°C,9h,0.0mm 
17.4°C,28.3°C,8h,0.0mm 
8.9°C,11.2°C,1h,0.0mm 
13.2°C,19.9°C,3h,0.0mm 
12.6°C,17.9°C,6h,3.2mm 
8.0°C,11.9°C,3h,0.0mm 
16.5°C,26.4°C,7h,3.4mm 
4.9°C,10.1°C,3h,0.0mm 
16.7°C,28.8°C,14h,0.0mm 
7.2°C,11.1°C,0h,0.2mm 
8.4°C,20.0°C,15h,0.0mm 
5.6°C,15.4°C,6h,0.0mm 
16.4°C,31.0°C,10h,0.2mm 
7.7°C,11.7°C,0h,0.0mm 
9.8°C,15.7°C,0h,0.4mm 
12.6°C,17.7°C,3h,7.6mm 
9.1°C,21.6°C,12h,0.0mm 
5.9°C,11.7°C,1h,0.0mm 
8.4°C,9.7°C,0h,0.0mm 
14.8°C,24.3°C,8h,0.2mm 
10.1°C,18.7°C,6h,0.0mm 
5.9°C,8.8°C,4h,0.0mm 
3.5°C,6.1°C,0h,1.6mm 
4.8°C,9.2°C,0h,0.0mm 
1.9°C,3.0°C,0h,0.0mm 
10.3°C,15.6°C,3h,0.0mm 
12.4°C,24.9°C,11h,0.0mm 
4.8°C,7.1°C,0h,0.0mm 
3.5°C,7.6°C,0h,0.8mm 
-5.2°C,-1.0°C,0h,3.4mm 
15.6°C,20.5°C,2h,0.0mm 
18.1°C,28.6°C,7h,0.0mm 
12.5°C,17.1°C,0h,0.0mm 
15.8°C,22.5°C,1h,1.4mm 
4.3°C,14.8°C,7h,0.4mm 
3.8°C,13.4°C,0h,1.8mm 
16.2°C,30.8°C,10h,0.0mm 
3.2°C,8.7°C,9h,0.0mm 
2.2°C,5.8°C,0h,0.0mm 
15.5°C,22.0°C,0h,0.4mm 
5.4°C,11.2°C,1h,2.9mm 
12.4°C,17.8°C,5h,0.0mm 
16.8°C,25.6°C,7h,0.0mm 
5.7°C,22.0°C,11h,0.0mm 
14.8°C,24.3°C,8h,0.2mm 
13.9°C,16.4°C,0h,8.8mm 
10.8°C,25.6°C,13h,0.0mm 
1.2°C,4.3°C,2h,3.4mm 
11.9°C,23.1°C,2h,3.4mm 
9.1°C,16.1°C,1h,2.0mm 
14.5°C,18.4°C,2h,3.8mm 
-1.6°C,4.7°C,5h,0.2mm 
14.0°C,23.2°C,7h,0.0mm 
15.1°C,23.5°C,5h,2.2mm 
4.3°C,6.6°C,0h,0.0mm 
-2.2°C,2.3°C,3h,4.2mm 
8.0°C,12.2°C,1h,0.0mm 
4.7°C,6.6°C,1h,0.0mm 
9.1°C,16.1°C,1h,2.0mm 
12.2°C,18.4°C,0h,5.2mm 
6.3°C,10.9°C,1h,7.2mm 
1.7°C,6.6°C,3h,0.0mm 
12.3°C,21.3°C,12h,0.0mm 
4.8°C,9.2°C,0h,0.0mm 
13.5°C,21.7°C,2h,3.8mm 
16.2°C,31.7°C,12h,0.0mm 
13.2°C,17.6°C,0h,8.0mm 
4.9°C,8.2°C,0h,9.8mm 
8.2°C,14.5°C,1h,6.4mm 
12.4°C,17.8°C,5h,0.0mm 
3.1°C,10.1°C,1h,0.2mm 
14.1°C,19.1°C,1h,0.0mm 
9.5°C,19.9°C,5h,4.6mm 
10.8°C,24.0°C,10h,0.0mm 
2.4°C,10.3°C,5h,0.0mm 
15.0°C,23.9°C,4h,0.0mm 
-1.3°C,1.6°C,1h,0.0mm 
3.4°C,15.3°C,7h,0.0mm 
-6.5°C,0.2°C,9h,0.0mm 
2.0°C,7.9°C,0h,4.6mm 
14.1°C,19.1°C,1h,0.0mm 
6.8°C,12.9°C,4h,2.4mm 
10.5°C,17.3°C,2h,0.0mm 
10.8°C,25.6°C,13h,0.0mm 
9.6°C,15.6°C,1h,14.9mm 
13.9°C,23.6°C,6h,0.0mm 
1.8°C,7.2°C,3h,2.0mm 
4.6°C,11.0°C,0h,4.8mm 
13.9°C,16.4°C,0h,8.8mm 
14.1°C,18.3°C,0h,2.4mm 
7.7°C,11.0°C,0h,3.2mm 
12.6°C,17.7°C,3h,7.6mm 
13.7°C,16.0°C,0h,9.2mm 
2.3°C,4.1°C,0h,0.0mm 
12.6°C,17.4°C,4h,0.0mm 
1.5°C,4.1°C,6h,0.0mm 
9.2°C,11.4°C,2h,0.0mm 
16.9°C,26.5°C,5h,9.1mm 
5.7°C,15.6°C,5h,1.0mm 
2.8°C,4.3°C,0h,0.4mm 
14.5°C,26.6°C,13h,0.0mm 
4.1°C,11.4°C,0h,16.1mm 
12.5°C,19.4°C,4h,0.0mm 
9.3°C,15.8°C,0h,3.4mm 
15.3°C,28.7°C,6h,0.0mm 
12.9°C,19.6°C,8h,0.0mm 
4.1°C,14.1°C,9h,0.0mm 
11.1°C,16.4°C,7h,0.2mm 
13.5°C,19.2°C,0h,13.0mm 
12.3°C,21.3°C,12h,0.0mm 
13.9°C,16.4°C,0h,8.8mm 
2.4°C,10.3°C,5h,0.0mm 
15.6°C,20.9°C,2h,2.4mm 
12.9°C,25.7°C,9h,0.0mm 
15.5°C,19.9°C,1h,0.0mm 
5.8°C,15.1°C,6h,3.0mm 
-1.8°C,5.2°C,6h,0.0mm 
15.5°C,19.9°C,1h,0.0mm 
3.7°C,9.6°C,3h,7.4mm 
13.9°C,18.7°C,1h,8.1mm 
12.6°C,16.5°C,0h,0.0mm 
15.5°C,22.0°C,0h,0.4mm 
11.0°C,15.7°C,1h,2.8mm 
9.0°C,16.9°C,5h,0.0mm 
10.0°C,22.3°C,12h,0.0mm 
5.3°C,11.0°C,1h,8.0mm 
1.8°C,7.2°C,3h,2.0mm 
0.0°C,1.2°C,0h,0.0mm 
16.5°C,27.4°C,14h,0.0mm 
8.0°C,11.9°C,3h,0.0mm 
5.2°C,9.0°C,0h,1.6mm 
13.9°C,19.5°C,0h,2.4mm 
5.5°C,12.3°C,2h,7.8mm 
14.6°C,25.1°C,10h,0.0mm 
2.4°C,5.0°C,0h,1.8mm 
10.2°C,15.7°C,0h,1.2mm 
11.8°C,22.7°C,5h,3.4mm 
0.3°C,2.0°C,0h,4.2mm 
6.9°C,13.6°C,1h,4.4mm 
10.8°C,24.0°C,10h,0.0mm 
15.2°C,25.8°C,12h,0.0mm 
15.8°C,28.4°C,11h,0.0mm 
14.1°C,19.1°C,1h,0.0mm 
4.3°C,14.8°C,7h,0.4mm 
-0.9°C,9.9°C,7h,0.2mm 
13.2°C,21.9°C,9h,0.0mm 
8.9°C,12.5°C,0h,0.0mm 
7.2°C,11.3°C,0h,8.2mm 
9.0°C,12.6°C,0h,0.0mm 
14.4°C,25.4°C,8h,0.0mm 
5.2°C,9.0°C,0h,1.6mm 
11.9°C,23.1°C,2h,3.4mm 
5.7°C,14.5°C,8h,0.0mm 
-0.5°C,7.3°C,10h,0.0mm 
5.7°C,11.4°C,0h,1.0mm 
16.0°C,25.2°C,6h,0.0mm 
3.5°C,7.6°C,0h,0.8mm 
10.4°C,21.4°C,11h,0.0mm 
4.4°C,11.3°C,4h,0.0mm 
15.5°C,19.9°C,1h,0.0mm 
9.1°C,18.9°C,4h,1.4mm 
4.4°C,12.0°C,0h,0.2mm 
0.3°C,7.5°C,9h,0.0mm 
8.7°C,13.1°C,0h,3.8mm 
3.3°C,13.2°C,6h,0.8mm 
10.1°C,17.5°C,2h,23.9mm 
16.5°C,27.8°C,5h,0.2mm 
3.6°C,10.2°C,7h,0.0mm 
2.6°C,4.3°C,0h,0.0mm 
-1.6°C,4.7°C,5h,0.2mm 
6.8°C,13.6°C,3h,0.2mm 
2.4°C,5.2°C,0h,0.0mm 
-2.2°C,1.6°C,2h,0.0mm 
-1.8°C,5.2°C,6h,0.0mm 
12.8°C,16.1°C,1h,0.0mm 
6.1°C,12.5°C,3h,0.4mm 
10.8°C,24.0°C,10h,0.0mm 
8.7°C,20.5°C,8h,2.2mm 
-5.6°C,1.6°C,6h,0.0mm 
0.7°C,6.6°C,6h,0.0mm 
10.1°C,12.9°C,0h,4.4mm 
15.7°C,27.2°C,14h,0.0mm 
1.5°C,4.1°C,6h,0.0mm 
7.9°C,17.3°C,2h,0.6mm 
3.5°C,7.1°C,0h,0.2mm 
-6.3°C,-1.4°C,9h,0.0mm 
6.8°C,8.4°C,0h,1.0mm 
8.9°C,12.5°C,0h,0.0mm 
4.2°C,10.4°C,0h,1.6mm 
11.6°C,20.5°C,4h,0.0mm 
12.3°C,25.8°C,12h,0.0mm 
2.2°C,12.4°C,9h,1.0mm 
13.1°C,19.3°C,4h,1.8mm 
1.5°C,4.1°C,6h,0.0mm 
2.0°C,3.0°C,0h,0.2mm 
4.0°C,8.1°C,1h,0.6mm 
-1.7°C,1.5°C,0h,0.6mm 
14.8°C,21.6°C,9h,0.0mm 
14.6°C,21.6°C,10h,0.0mm 
2.4°C,5.2°C,0h,0.0mm 
5.4°C,17.9°C,11h,0.0mm 
13.5°C,21.7°C,2h,3.8mm 
2.9°C,8.3°C,1h,0.0mm 
15.5°C,22.0°C,0h,0.4mm 
20.5°C,32.6°C,9h,14.5mm 
9.5°C,19.9°C,5h,4.6mm 
13.7°C,28.3°C,10h,0.0mm 
16.5°C,27.4°C,14h,0.0mm 
13.1°C,19.3°C,4h,1.8mm 
8.9°C,14.1°C,5h,0.0mm 
15.1°C,22.2°C,2h,0.0mm 
10.1°C,12.9°C,0h,4.4mm 
10.3°C,15.6°C,3h,0.0mm 
8.2°C,15.3°C,0h,5.2mm 
-0.3°C,6.1°C,7h,0.0mm 
4.6°C,11.0°C,0h,4.8mm 
10.4°C,17.7°C,10h,0.0mm 
0.3°C,2.0°C,0h,4.2mm 
0.1°C,7.9°C,7h,0.4mm 
16.4°C,23.8°C,4h,0.0mm 
7.7°C,12.6°C,1h,0.0mm 
19.7°C,31.7°C,12h,0.0mm 
7.3°C,9.8°C,0h,0.6mm 
12.9°C,22.1°C,5h,0.0mm 
-3.5°C,-1.6°C,0h,0.0mm 
13.9°C,19.5°C,0h,2.4mm 
14.7°C,24.4°C,4h,0.0mm 
4.4°C,6.7°C,1h,0.6mm 
13.5°C,17.0°C,0h,3.4mm 
7.5°C,11.8°C,0h,0.0mm 
16.3°C,27.9°C,4h,0.0mm 
9.1°C,16.1°C,1h,2.0mm 
10.0°C,17.0°C,9h,0.0mm 
12.5°C,19.4°C,4h,0.0mm 
0.5°C,6.2°C,1h,4.0mm 
15.3°C,24.5°C,9h,0.0mm 
-4.4°C,0.7°C,9h,0.0mm 
12.3°C,14.9°C,0h,1.4mm 
4.0°C,8.1°C,1h,0.6mm 
4.1°C,12.4°C,0h,1.8mm 
18.7°C,28.7°C,9h,0.2mm 
11.0°C,15.7°C,1h,2.8mm 
3.5°C,6.1°C,0h,1.6mm 
8.0°C,12.8°C,1h,0.0mm 
15.0°C,19.1°C,0h,0.0mm 
12.9°C,25.7°C,9h,0.0mm 
19.2°C,27.7°C,15h,0.0mm 
3.3°C,13.2°C,6h,0.8mm 
7.5°C,18.2°C,9h,0.0mm 
7.5°C,10.7°C,0h,0.8mm 
14.8°C,22.2°C,6h,10.4mm 
8.1°C,17.0°C,9h,0.0mm 
7.7°C,11.7°C,0h,0.0mm 
16.0°C,30.0°C,9h,0.0mm 
3.4°C,15.3°C,7h,0.0mm 
7.4°C,11.5°C,0h,3.6mm 
6.2°C,13.3°C,4h,0.6mm 
12.4°C,17.8°C,5h,0.0mm 
9.4°C,22.2°C,11h,0.0mm 
12.8°C,22.8°C,3h,17.2mm 
10.0°C,17.0°C,9h,0.0mm 
15.6°C,25.9°C,9h,0.0mm 
14.1°C,19.1°C,1h,0.0mm 
15.3°C,28.7°C,6h,0.0mm 
0.5°C,9.7°C,12h,0.0mm 
-3.0°C,6.3°C,0h,0.2mm 
8.9°C,11.2°C,1h,0.0mm 
7.5°C,10.7°C,0h,1.0mm 
-2.4°C,5.2°C,0h,0.0mm 
2.7°C,9.6°C,1h,6.2mm 
0.7°C,6.6°C,6h,0.0mm 
13.9°C,15.2°C,0h,6.0mm 
2.4°C,10.3°C,5h,0.0mm 
5.4°C,13.5°C,7h,0.0mm 
3.7°C,13.1°C,4h,0.0mm 
6.7°C,11.1°C,1h,0.0mm 
8.8°C,12.3°C,0h,8.0mm 
13.6°C,24.0°C,7h,0.0mm 
5.6°C,15.4°C,6h,0.0mm 
2.4°C,5.2°C,0h,0.0mm 
1.9°C,7.7°C,0h,0.0mm 
11.5°C,18.4°C,6h,1.6mm 
7.7°C,20.7°C,14h,0.0mm 
13.8°C,23.9°C,3h,0.4mm 
8.7°C,15.5°C,1h,0.2mm 
4.9°C,10.1°C,3h,0.0mm 
5.8°C,14.2°C,8h,1.2mm 
12.4°C,24.9°C,11h,0.0mm 
13.4°C,18.1°C,0h,14.2mm 
6.1°C,12.6°C,0h,0.2mm 
1.8°C,7.2°C,3h,2.0mm 
12.6°C,17.4°C,4h,0.0mm 
6.6°C,13.0°C,7h,5.8mm 
1.6°C,3.9°C,0h,0.0mm 
